"2","old","3","22","12","0","8","2","133"
"3","old","3","22","13","0","8","9","140"
"4","old","3","22","14","0","8","16","147"
"5","old","3","22","15","0","8","23","154"
"6","old","3","22","16","0","8","30","161"
"7","old","3","22","17","0","9","6","168"
"8","old","3","22","18","0","9","27","189"
"9","old","3","22","19","0","10","4","196"
"10","old","3","22","21","0","10","11","203"
"11","old","3","22","20","0","10","18","210"
"12","old","3","22","23","0","10","25","217"
"13","old","3","22","22","0","11","1","224"
"14","old","3","22","24","0","11","8","231"
"15","old","3","22","25","0","11","15","238"
"16","old","3","22","26","0","11","22","245"
"17","old","3","22","30","0","11","29","252"
"18","old","3","22","27","0","12","6","259"
"19","old","3","22","28","0","0","0","0"
"20","old","3","22","29","1","1","18","302"
"21","old","3","22","31","1","1","25","309"
"22","old","3","22","32","1","1","32","316"
"23","old","3","23","12","0","8","3","133"
"24","old","3","23","13","0","8","10","140"
"25","old","3","23","14","0","8","17","147"
"26","old","3","23","15","0","8","24","154"
"27","old","3","23","16","0","8","31","161"
"28","old","3","23","17","0","0","0","0"
"29","old","3","23","18","0","9","28","189"
"30","old","3","23","19","0","10","5","196"
"31","old","3","23","21","0","10","12","203"
"32","old","3","23","22","0","10","19","210"
"33","old","3","23","23","0","10","26","217"
"34","old","3","23","22","0","11","2","224"
"35","old","3","23","24","0","11","9","231"
"36","old","3","23","25","0","11","16","238"
"37","old","3","23","26","0","11","23","245"
"38","old","3","23","30","0","11","30","252"
"39","old","3","23","27","0","12","7","259"
"40","old","3","23","28","0","12","14","266"
"41","old","3","23","29","1","1","19","302"
"42","old","3","23","31","1","1","26","309"
"43","old","3","23","32","0","2","1","-50"
"44","old","3","23","20","0","0","0","0"
"45","old","3","24","12","0","8","4","133"
"46","old","3","24","13","0","8","11","140"
"47","old","3","24","14","0","8","18","147"
"48","old","3","24","15","0","8","25","154"
"49","old","3","24","16","0","9","1","161"
"50","old","3","24","17","0","0","0","0"
"51","old","3","24","18","0","9","22","182"
"52","old","3","24","19","0","9","29","189"
"53","old","3","24","20","0","10","6","196"
"54","old","3","24","21","0","10","13","203"
"55","old","3","24","23","0","10","20","210"
"56","old","3","24","24","0","10","27","217"
"57","old","3","24","22","0","11","3","224"
"58","old","3","24","25","0","11","10","231"
"59","old","3","24","26","0","11","17","238"
"60","old","3","24","30","0","11","24","245"
"61","old","3","24","31","0","12","1","252"
"62","old","3","24","27","0","12","8","259"
"63","old","3","24","28","0","12","15","266"
"64","old","3","24","29","1","1","20","302"
"65","old","3","24","32","1","1","27","309"
"66","old","3","25","12","0","8","5","133"
"67","old","3","25","13","0","8","12","140"
"68","old","3","25","14","0","8","19","147"
"69","old","3","25","15","0","8","26","154"
"70","old","3","25","16","0","9","2","161"
"71","old","3","25","17","0","0","0","0"
"72","old","3","25","18","0","9","23","182"
"73","old","3","25","19","0","9","30","189"
"74","old","3","25","20","0","10","7","196"
"75","old","3","25","21","0","10","14","203"
"76","old","3","25","23","0","10","21","210"
"77","old","3","25","24","0","10","28","217"
"78","old","3","25","22","0","11","4","224"
"79","old","3","25","25","0","11","11","231"
"80","old","3","25","26","0","11","18","238"
"81","old","3","25","30","0","11","25","245"
"82","old","3","25","31","0","12","2","252"
"83","old","3","25","27","0","12","9","259"
"84","old","3","25","28","0","12","16","266"
"85","old","3","25","29","1","1","21","302"
"86","old","3","25","32","1","1","28","309"
"87","old","3","26","12","0","0","0","0"
"88","old","3","26","13","0","8","13","140"
"89","old","3","26","14","0","8","20","147"
"90","old","3","26","15","0","8","27","154"
"91","old","3","26","16","0","9","3","161"
"92","old","3","26","17","0","0","0","0"
"93","old","3","26","18","0","9","24","182"
